raw_activity,clean_activity
"Electronic Equipment Repair | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of New Electronics and Accessories | Selling Cable, Satellite, or Internet Services | Retail Sales of Cell Phones and Accessories",Electronic Equipment Repair
Provide Business and Management Consulting | Electronic Equipment Repair | Miscellaneous Commercial Services,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of New Electronics and Accessories | Retail Sales of Used Electronics | Retail Sales of Cell Phones and Accessories,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Appliances,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of New Electronics and Accessories | Operation of a Financial Services Commercial Office | Retail Sales of Cell Phones and Accessories,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of Clothing / Accessories / Shoes,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of General Merchandise,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of Used Electronics | Buying and Reselling of Used Cell Phones,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of Used Electronics | Shipping / Printing Services,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of Cell Phones and Accessories,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of New Electronics and Accessories | Retail Sales of Cell Phones and Accessories,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of General Merchandise and Non-Perishable Food,Electronic Equipment Repair
Electronic Equipment Repair | Payment Center | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of New Electronics and Accessories | Retail Sales of Cell Phones and Accessories,Electronic Equipment Repair
Operation of an Administrative Commercial Office | Electronic Equipment Repair,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of New Electronics and Accessories | Retail Sales of General Merchandise | Retail Sales of Clothing / Accessories / Shoes | Retail Sales of Cell Phones and Accessories | Retail Sales of Jewelry and Jewelry Repair | Retail Sales of Appliances,Electronic Equipment Repair
"Electronic Equipment Repair | Preparation of Food, Coffee or Drinks | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods | Retail Sales of Cell Phones and Accessories",Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of New Electronics and Accessories,Electronic Equipment Repair
Electronic Equipment Repair | Payment Center | Retail Sales of Used Electronics | Retail Sales of Cell Phones and Accessories,Electronic Equipment Repair
Electronic Equipment Repair,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of Used Electronics | Provide Computer Design/Development Consulting | Web / Software Development,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of New Electronics and Accessories | Retail Sales of Cell Phones and Accessories | Retail Sales of Jewelry and Jewelry Repair,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of Appliances,Electronic Equipment Repair
Electronic Equipment Repair | Payment Center | Retail Sales of New Electronics and Accessories | Retail Sales of General Merchandise,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of Tobacco Products and Accessories (Less Than 80% Gross Revenue of Business),Electronic Equipment Repair
"Off Site Equipment Repair (Computer,TV,  Etc) (Home Occ)",Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of New Electronics and Accessories | Retail Sales of General Merchandise,Electronic Equipment Repair
Electronic Equipment Repair | Miscellaneous Commercial Services,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Cell Phones and Accessories,Electronic Equipment Repair
Electronic Equipment Repair | Payment Center | Retail Sales of Cell Phones and Accessories,Electronic Equipment Repair
Electronic Equipment Repair | Miscellaneous Commercial Services | Renting Computer Terminals for Internet Use | Retail Sales of New Electronics and Accessories,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of General Merchandise | Retail Sales of Clothing / Accessories / Shoes,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of New Electronics and Accessories | Provide Computer Design/Development Consulting | Web / Software Development,Electronic Equipment Repair
Electronic Equipment Repair | Payment Center | Retail Sales of New Electronics and Accessories | Retail Sales of Cell Phones and Accessories,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of New Electronics and Accessories,Electronic Equipment Repair
"Electronic Equipment Repair | Preparation of Food, Coffee or Drinks | Retail Sales of General Merchandise and Non-Perishable Food",Electronic Equipment Repair
Electronic Equipment Repair | Payment Center | Buying and Reselling of Used Cell Phones,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of New Electronics and Accessories | Retail Sales of Cell Phones and Accessories,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of New Electronics and Accessories | Retail Sales of Used Electronics | Buying and Reselling of Used Cell Phones,Electronic Equipment Repair
Sale of Furniture | Retail Sales of Appliances,Enagage in Wholesale Food Sales
Retail Sales of General Merchandise and Non-Perishable Food | Ticket Sales for Athletic Events or Other Amusement or Any Passenger Ticket,Enagage in Wholesale Food Sales
"Operation of an Administrative Commercial Office | Distribution, Placing, Leasing or Sales of Automatic Amusement Devices",Enagage in Wholesale Food Sales
Miscellaneous Commercial Services | Enagage in Wholesale Sales,Enagage in Wholesale Food Sales
Renting Computer Terminals for Internet Use | Retail Sales of General Merchandise and Non-Perishable Food | Shipping / Printing Services | Virtual Office Services,Enagage in Wholesale Food Sales
Buying and Reselling of Used Children's Products | Retail Sales of General Merchandise | Retail Sales of Clothing / Accessories / Shoes,Enagage in Wholesale Food Sales
Sale of Furniture | Retail Sales of Clothing / Accessories / Shoes,Enagage in Wholesale Food Sales
Rental of General Merchandise | Retail Sales of New Electronics and Accessories | Retail Sales of Outdoor Equipment and Supplies | Storage or Use of Hazardous Materials | Retail Sales of General Merchandise | Retail Sales of Appliances,Enagage in Wholesale Food Sales
"Rental of Canopies, Tents and Inflatables | Rental of Chairs, Tables, Linens and other Party Supplies",Enagage in Wholesale Food Sales
Miscellaneous Commercial Services | Enagage in Wholesale Sales | Manufacturing of Miscellaneous Items,Enagage in Wholesale Food Sales
Sale of Vehicle Parts and Accessories | Storage or Use of Hazardous Materials,Enagage in Wholesale Food Sales
Miscellaneous Commercial Services | Rental of General Merchandise | Retail Sales of General Merchandise and Non-Perishable Food,Enagage in Wholesale Food Sales
Rental of General Merchandise | Retail Sales of General Merchandise and Non-Perishable Food | Sale of Furniture | Retail Sales of General Merchandise | Retail Sales of Clothing / Accessories / Shoes,Enagage in Wholesale Food Sales
Renting Computer Terminals for Internet Use | Retail Sales of Cell Phones and Accessories,Enagage in Wholesale Food Sales
Sale of Goods From a Motor Vehicle With another Power Source (Mobile Merchant),Enagage in Wholesale Food Sales
Buying and Reselling of Used Children's Products | Retail Sales of New Electronics and Accessories | Retail Sales of General Merchandise | Retail Sales of Clothing / Accessories / Shoes | Retail Sales of Cell Phones and Accessories | Retail Sales of Appliances,Enagage in Wholesale Food Sales
